,url,street_address,city,state,zipcode,neighborhood,beds,baths,square_footage,price,listing_type,description,details,home_type,lot_size,year_built,num_rooms,rooms_list,heating,heating_fuel,cooling_system,floor_types,air_con,microwave,dishwasher,disposal,washer,dryer,fireplace,vaulted_ceiling,double_pane,parking_type,garage,num_parking,security,num_stories,exterior_types,foundation_type,roof_type,patio,porch,deck,pool
0,https://www.trulia.com/p/ca/sacramento/3141-yellowstone-ln-sacramento-ca-95821--2085846698,3141 Yellowstone Ln,Sacramento,CA,95821,UNKNOWN,4,2,1689,390000,BUY,"Beautifully upgrade, large 4 bedroom, 2 full bathroom home. Real wood floors, with wood burning fireplace in the large living room. Dining area close to the modern kitchen with granite counters, stainless steel appliances and great natural light. Huge master suite with walk in closet, updated master bath and sliding glass door to the backyard. In the other wing of the home, a bedroom, indoor laundry room and an additional room which can be a pool room/office/separate living quarters with own access. Home has a BRAND NEW HVAC system installed in April 2020. The backyard has a built-in pool, plenty of grass for the family and a huge trees in the front for summertime shade. Large tree lined streets, close walk to Bohemian Park make this a perfect neighborhood for families. 10 minute walk to Town and Country Village, 20 minute drive downtown this centrally located house is a great place to call home.
","['Single Family Home', '$231/sqft', 'Lot Size: 0.26 acres', 'Built in 1946', '1 Day on Trulia', '8 Rooms', 'Rooms: Dining Room', 'Heating: Forced Air', 'Heating Fuel: Electric', 'Cooling System: Central', 'Air Conditioning', 'Washer', 'Dryer', 'Floors: Carpet, Hardwood', 'Fireplace', 'Double Paned Windows', 'Ceiling Fan', 'Jetted Bath Tub', 'Parking: Detached Garage', 'Garage', 'Rv Parking', 'Parking Spaces: 1', 'Attic', 'Storage', 'Security System', 'Barbeque Area', 'Sport Court', 'Additional Storage', 'Cable Ready', 'Contemporary Architecture', 'Fixer', 'Stories: 1', 'Exterior: Brick Wood', 'Roof: Composition', 'Year Updated: 2018', 'Patio', 'Porch', 'Deck', 'Lawn', 'In-law unit', 'Pool', 'Hot Tub or Spa', 'Sprinkler System', 'MLS/Source ID: 20021935']",Single Family Home,11325.6,1946.0,8.0,"('Dining Room',)",Forced Air, Electric,"('Central',)","('Carpet', 'Hardwood')",Air Conditioning,UNKNOWN,UNKNOWN,UNKNOWN,Washer,Dryer,Fireplace,UNKNOWN,Double Paned Windows,"('Detached Garage',)",Garage,1.0,Security System,1.0,"('Brick', 'Wood')",UNKNOWN,Composition,Patio,Porch,Deck,Pool
1,https://www.trulia.com/p/ca/sacramento/7748-finnhorse-way-sacramento-ca-95828--2326172640,7748 Finnhorse Way,Sacramento,CA,95828,UNKNOWN,5,3,3020,529900,BUY,"Fabulous 5 bedroom, 3 bathroom, two-story property situated on a corner lot with no HOA! The main floor of this home includes 1 bedroom, that can be used as a home office, 1 full bathroom, formal living room and dining area with access to the backyard, and the kitchen. The beautiful, chef-style kitchen features stainless steel appliances, granite counter tops, dark wood cabinets, and a large center island with deep sink. Upstairs you will find your large master suite, featuring a huge walk in closet and a full private bathroom with dual vanities and separate tub and shower. 3 additional bedrooms and 1 full bathroom complete the upstairs living area. Laundry room, with sink and storage space, is found in the extra deep finished garage. You will find a large covered area and pergola in the fenced in backyard, perfect for entertaining!
","['Single Family Home', '$175/sqft', 'Lot Size: 6,199 sqft', 'Built in 2016', '28 Days on Trulia', '9 Rooms', 'Rooms: Dining Room', 'Heating: Forced Air', 'Heating Fuel: Gas', 'Cooling System: Central', 'Air Conditioning', 'Dishwasher', 'Floors: Carpet, Laminate, Tile', 'Fireplace', 'Double Paned Windows', 'Ceiling Fan', 'Parking: Attached Garage', 'Garage', 'Parking Spaces: 3', 'Contemporary Architecture', 'Stories: 2', 'Exterior: Wood', 'Roof: Tile', 'Patio']",Single Family Home,6199.0,2016.0,9.0,"('Dining Room',)",Forced Air, Gas,"('Central',)","('Carpet', 'Laminate', 'Tile')",Air Conditioning,UNKNOWN,Dishwasher,UNKNOWN,UNKNOWN,UNKNOWN,Fireplace,UNKNOWN,Double Paned Windows,"('Attached Garage',)",Garage,3.0,UNKNOWN,2.0,"('Wood',)",UNKNOWN,Tile,Patio,UNKNOWN,UNKNOWN,UNKNOWN
2,https://www.trulia.com/p/ca/rancho-cordova/2246-palmwood-ct-rancho-cordova-ca-95670--2085585146,2246 Palmwood Ct,Rancho Cordova,CA,95670,Mills Ranch,4,2,1420,368900,BUY,"Beautifully updated 4 bedroom, 2 bath single story home in Rancho Cordova. This home features an open floor plan which immediately opens to the spacious living room, which leads into the dining room and updated kitchen. Granite countertops, updated cabinets and appliances with a large window overlooking the front yard. All 4 bedrooms have updated tile flooring, newer paint and plenty of space. Master bedroom offers a sliding door into the center patio, a perfect place for your morning coffee. Close proximity to Sunrise Blvd corridor with all the shopping you need, 10 minutes to Folsom and 20 minutes to downtown.
","['Single Family Home', '$260/sqft', 'Lot Size: 4,729 sqft', '$15/monthly HOA', 'Built in 1983', '14 Days on Trulia', '7 Rooms', 'Rooms: Family Room', 'Heating: Other', 'Cooling System: Central', 'Air Conditioning', 'Microwave', 'Dishwasher', 'Disposal', 'Floors: Tile', 'Great Views', 'Fireplace', 'Vaulted Ceiling', 'Double Paned Windows', 'Ceiling Fan', 'Parking: Attached Garage', 'Garage', 'Parking Spaces: 2', 'Security System', 'Barbeque Area', 'Cable Ready', 'Contemporary Architecture', 'Stories: 1', 'Exterior: Wood', 'Foundation Type: Slab', 'Roof: Composition', 'Year Updated: 2014', 'Patio', 'Deck', 'Garden']",Single Family Home,4729.0,1983.0,7.0,"('Family Room',)",Other,UNKNOWN,"('Central',)","('Tile',)",Air Conditioning,Microwave,Dishwasher,Disposal,UNKNOWN,UNKNOWN,Fireplace,Vaulted Ceiling,Double Paned Windows,"('Attached Garage',)",Garage,2.0,Security System,1.0,"('Wood',)", Slab,Composition,Patio,UNKNOWN,Deck,UNKNOWN
3,https://www.trulia.com/p/ca/sacramento/5741-rexleigh-dr-sacramento-ca-95823--2085871544,5741 Rexleigh Dr,Sacramento,CA,95823,Valley High-North Laguna,4,3,2918,470000,BUY,"Beautiful 4 bedroom, 3 bathroom, 2 story located in the North Laguna neighborhood with no HOA! Upon entry you will be greeted by an open family room and formal dining area with high ceilings. Off of the formal dining area is the open style kitchen and living room. There is also a bedroom and full bathroom downstairs. The 2nd story features a loft area, 2 bedrooms, a full bathroom, and a master suite that has access to a private balcony! The backyard has a covered patio and lots of space. Recently the home had full interior paint job, a new water heater installed, new carpet in the master bedroom, freshly painted cabinets throughout, and new sections of the fencing installed. The home has a cul-de-sac feel being at the end of the street and right next to the bike trail for ultimate privacy, yet only a 5 minute drive to great shopping, restaurants, movies, and much more!
","['Single Family Home', '$161/sqft', 'Lot Size: 7,439 sqft', 'Built in 1998', '97 Days on Trulia', '9 Rooms', 'Rooms: Dining Room, Family Room, Laundry Room', 'Heating: Forced Air', 'Heating Fuel: Gas', 'Cooling System: Central', 'Air Conditioning', 'Microwave', 'Dishwasher', 'Disposal', 'Floors: Carpet, Laminate, Tile', 'Fireplace', 'Double Paned Windows', 'Ceiling Fan', 'Parking: Attached Garage', 'Garage', 'Parking Spaces: 2', 'Cable Ready', 'Stories: 2', 'Foundation Type: Slab', 'Roof: Tile', 'Patio', 'Deck']",Single Family Home,7439.0,1998.0,9.0,"('Dining Room', 'Family Room', 'Laundry Room')",Forced Air, Gas,"('Central',)","('Carpet', 'Laminate', 'Tile')",Air Conditioning,Microwave,Dishwasher,Disposal,UNKNOWN,UNKNOWN,Fireplace,UNKNOWN,Double Paned Windows,"('Attached Garage',)",Garage,2.0,UNKNOWN,2.0,UNKNOWN, Slab,Tile,Patio,UNKNOWN,Deck,UNKNOWN
4,https://www.trulia.com/p/ca/sacramento/6101-golden-dawn-way-sacramento-ca-95841--2085985806,6101 Golden Dawn Way,Sacramento,CA,95841,Foothill Farms,4,3,1903,375000,BUY,"This home has an attached in-laws unit with it's own entrance, a kitchenette, and a full bath. Use the in-laws for a family member, or as a rental to help offset your mortgage. The modern flooring, quartz counters, wood burning fireplace, and updating throughout makes this feel like a place you'd want to spend all your time, mandated or not. The enclosed patio adds space for whatever makes your heart sing; use it as an art studio, exercise room, additional living space, an office, the list goes on and on. This spacious corner lot has plenty of parking, new windows, new fixtures, and so much more. Come check out 6101 Golden Dawn!
","['Single Family Home', '$197/sqft', 'Lot Size: 6,970 sqft', 'Built in 1955', '7 Days on Trulia', '7 Rooms', 'Rooms: Dining Room', 'Heating: Forced Air', 'Heating Fuel: Electric', 'See Virtual Tour', 'Cooling System: Central', 'Air Conditioning', 'Dishwasher', 'Floors: Carpet, Linoleum Vinyl', 'Fireplace', 'Double Paned Windows', 'Parking: Attached Garage', 'Garage', 'Parking Spaces: 2', 'Ranch Architecture', 'Stories: 1', 'Exterior: Brick Wood', 'Roof: Composition', 'Year Updated: 1957', 'Patio', 'Porch', 'MLS/Source ID: 20020272']",Single Family Home,6970.0,1955.0,7.0,"('Dining Room',)",Forced Air, Electric,"('Central',)","('Carpet', 'Linoleum Vinyl')",Air Conditioning,UNKNOWN,Dishwasher,UNKNOWN,UNKNOWN,UNKNOWN,Fireplace,UNKNOWN,Double Paned Windows,"('Attached Garage',)",Garage,2.0,UNKNOWN,1.0,"('Brick', 'Wood')",UNKNOWN,Composition,Patio,Porch,UNKNOWN,UNKNOWN
5,https://www.trulia.com/p/ca/sacramento/3538-huntsman-dr-sacramento-ca-95826--2085895893,3538 Huntsman Dr,Sacramento,CA,95826,UNKNOWN,4,2,1487,338900,BUY,"A Rosemont beauty, 4 bedroom 2 full bathrooms close to Rosemont Park. Walk into a freshly painted, new carpet living room that opens up to the beautifully upgraded kitchen. The kitchen features granite countertops, gas stove with a wonderful view out to the front yard. The family room features a fireplace with access to the large back yard. All 4 bedrooms are well situated for any family. The master suite features two large closets and a well appointed full bathroom. All the bedrooms feature beautiful new carpet and nice new paint throughout the entire house. This Rosemont location is 15 minutes to downtown, 20 minutes to Folsom and right near Sac State.
","['Single Family Home', '$228/sqft', 'Lot Size: 5,936 sqft', 'Built in 1973', '33 Days on Trulia', '7 Rooms', 'Rooms: Family Room', 'Heating: Forced Air', 'Heating Fuel: Gas', 'Cooling System: Central', 'Air Conditioning', 'Dishwasher', 'Floors: Carpet', 'Fireplace', 'Parking: Attached Garage', 'Garage', 'Parking Spaces: 2', 'Cable Ready', 'Contemporary Architecture', 'Stories: 1', 'Exterior: Wood', 'Roof: Composition', 'Year Updated: 2008', 'Patio', 'Porch', 'Deck', 'Sprinkler System']",Single Family Home,5936.0,1973.0,7.0,"('Family Room',)",Forced Air, Gas,"('Central',)","('Carpet',)",Air Conditioning,UNKNOWN,Dishwasher,UNKNOWN,UNKNOWN,UNKNOWN,Fireplace,UNKNOWN,UNKNOWN,"('Attached Garage',)",Garage,2.0,UNKNOWN,1.0,"('Wood',)",UNKNOWN,Composition,Patio,Porch,Deck,UNKNOWN
6,https://www.trulia.com/p/ca/folsom/260-marsalla-dr-folsom-ca-95630--1018652649,260 Marsalla Dr,Folsom,CA,95630,American River Canyon North,3,3,1423,450000,BUY,"Beautifully maintained two-story home with 3 bedrooms and 2.5 bathrooms located in the highly desirable American River Canyon North community. The main floor features spacious living and dining rooms just off the kitchen, as well as a half bathroom, and laundry area all boasting gorgeous wood flooring. The upstairs features 3 bedroom and 2 full bathrooms. This home is less than 2 minutes from the popular Negro Bar Recreation area and 5 minutes from Beals Point/Folsom Lake.
","['Single Family Home', '$316/sqft', 'Lot Size: 3,654 sqft', 'Built in 2002', '41 Days on Trulia', '6 Rooms', 'Heating: Forced Air', 'Cooling System: Central', 'Air Conditioning', 'Fireplace', 'Parking: Attached Garage', 'Garage', 'Parking Spaces: 2', 'Stories: 2', 'Exterior: Wood', 'Foundation Type: Slab', 'Roof: Shake Shingle']",Single Family Home,3654.0,2002.0,6.0,UNKNOWN,Forced Air,UNKNOWN,"('Central',)",UNKNOWN,Air Conditioning,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Fireplace,UNKNOWN,UNKNOWN,"('Attached Garage',)",Garage,2.0,UNKNOWN,2.0,"('Wood',)", Slab,Shake Shingle,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
7,https://www.trulia.com/p/ca/sacramento/281-anjou-cir-sacramento-ca-95835--2085965943,281 Anjou Cir,Sacramento,CA,95835,Westlake,3,3,1872,359999,BUY,"MOTIVATED SELLER***Beautiful home in the highly desirable Westlake Community. Nestled near the end of tree lined streets and homes that show pride of ownership throughout the entire neighborhood. This home features a kitchen/dinning/living room open floor plan. You will love the options with the bonus room downstairs. This home could be a 4 bedroom! There is a 1/2 bath downstairs and an indoor laundry room with 2 full bathrooms upstairs.Plenty of parking spaces with a wide 2 car garage and 2 car driveway. You will love the surround sound in the living room, and so much more. The HOA gives you access to the gated lake, fishing, and the clubhouse with the pool. This is the perfect home for your lifestyle. 10 minutes to downtown Sacramento, shopping, SMF airport and walk to the park at the end of the street! What more could you ask for in a home and a location?
","['Single Family Home', '$192/sqft', 'Lot Size: 3,979 sqft', '$179/monthly HOA', 'Built in 2002', '27 Days on Trulia', '6 Rooms', 'Rooms: Dining Room', 'Heating: Forced Air', 'See Virtual Tour', 'Cooling System: Central', 'Air Conditioning', 'Refrigerator', 'Microwave', 'Dishwasher', 'Floors: Carpet, Hardwood, Linoleum Vinyl', 'Great Views', 'Fireplace', 'Double Paned Windows', 'Ceiling Fan', 'Parking: Attached Garage', 'Garage', 'Parking Spaces: 2', 'Fitness Center', 'Spanish Architecture', 'Stories: 2', 'Exterior: Stucco', 'Foundation Type: Slab', 'Roof: Tile', 'Pool', 'Hot Tub or Spa', 'MLS/Source ID: 20017833']",Single Family Home,3979.0,2002.0,6.0,"('Dining Room',)",Forced Air,UNKNOWN,"('Central',)","('Carpet', 'Hardwood', 'Linoleum Vinyl')",Air Conditioning,Microwave,Dishwasher,UNKNOWN,UNKNOWN,UNKNOWN,Fireplace,UNKNOWN,Double Paned Windows,"('Attached Garage',)",Garage,2.0,UNKNOWN,2.0,"('Stucco',)", Slab,Tile,UNKNOWN,UNKNOWN,UNKNOWN,Pool
8,https://www.trulia.com/p/ca/sacramento/7432-esteem-dr-sacramento-ca-95842--2085993012,7432 Esteem Dr,Sacramento,CA,95842,UNKNOWN,4,3,1981,375000,BUY,"Fantastic 4 bedroom home, close to shopping with quick freeway access! 3 bedrooms with possible 4th downstairs and private upstairs master suite, with 3 closets! Extra large kitchen with lots of natural light and room for two refrigerators, large outdoor courtyard perfect for entertaining.
","['Single Family Home', '$189/sqft', 'Lot Size: 4,755 sqft', 'Built in 1983', '16 Days on Trulia', '8 Rooms', 'Rooms: Dining Room, Walk In Closet', 'Heating: Forced Air', 'Heating Fuel: Gas', 'See Virtual Tour', 'Cooling System: Central', 'Air Conditioning', 'Floors: Carpet, Laminate, Tile', 'Fireplace', 'Parking: Attached Garage', 'Garage', 'Parking Spaces: 2', 'Stories: 2', 'Exterior: Stucco Wood', 'Foundation Type: Slab', 'Roof: Composition', 'Patio', 'Disabled Access', 'MLS/Source ID: 20019591']",Single Family Home,4755.0,1983.0,8.0,"('Dining Room', 'Walk In Closet')",Forced Air, Gas,"('Central',)","('Carpet', 'Laminate', 'Tile')",Air Conditioning,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Fireplace,UNKNOWN,UNKNOWN,"('Attached Garage',)",Garage,2.0,UNKNOWN,2.0,"('Stucco', 'Wood')", Slab,Composition,Patio,UNKNOWN,UNKNOWN,UNKNOWN
9,https://www.trulia.com/p/ca/sacramento/54-sun-reign-pl-sacramento-ca-95823--2085870974,54 Sun Reign Pl,Sacramento,CA,95823,Parkway,3,3,1505,284900,BUY,"Beautiful move-in ready home in the highly sought after retirement community of Sun Meadows. This lovely home is located in a private cul-de-sac. Some of the many features this home has to offer are all new interior paint, new beautiful laminate flooring, new plush carpeting, new tile flooring in all 3 bathrooms and an inside laundry room. This home has 2 master bedrooms, one downstairs and one upstairs. The bright open kitchen features brand new stainless steel appliances, tons of cabinets and counter top space, a breakfast bar and is open to the family room. Upstairs you will find a 2nd family room and office area. This home also has a private fenced backyard. Located in a gated community with a state of the art Clubhouse with putting green,exercise room, outdoor BBQ area, pool and hot tub.
","['Single Family Home', '$189/sqft', 'Lot Size: 3,976 sqft', '$180/monthly HOA', 'Built in 2005', '9 Days on Trulia', '6 Rooms', 'Rooms: Dining Room, Family Room, Pantry', 'Heating: Forced Air', 'See Virtual Tour', 'Heating Fuel: Electric', 'Cooling System: Central', 'Air Conditioning', 'Microwave', 'Dishwasher', 'Disposal', 'Floors: Carpet, Laminate, Tile', 'Double Paned Windows', 'Parking: Attached Garage', 'Garage', 'Parking Spaces: 2', 'Cable Ready', 'Contemporary Architecture', 'Stories: 2', 'Exterior: Stucco', 'Foundation Type: Slab', 'Roof: Tile', 'Patio', 'Porch', 'Pool', 'MLS/Source ID: 20020535']",Single Family Home,3976.0,2005.0,6.0,"('Dining Room', 'Family Room', 'Pantry')",Forced Air, Electric,"('Central',)","('Carpet', 'Laminate', 'Tile')",Air Conditioning,Microwave,Dishwasher,Disposal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Double Paned Windows,"('Attached Garage',)",Garage,2.0,UNKNOWN,2.0,"('Stucco',)", Slab,Tile,Patio,Porch,UNKNOWN,Pool
